STO sub two theta,STO sub Int,STOonSTO two theta,STOonSTO Int,STOonLSAT sub two theta,STOonLSAT Int
45.63,12,45.065,0,45.63,189
45.635,19,45.0675,2,45.635,213
45.64,15,45.07,3,45.64,224
45.645,24,45.0725,4,45.645,227
45.65,16,45.075,1,45.65,189
45.655,18,45.0775,0,45.655,175
45.66,13,45.08,3,45.66,183
45.665,17,45.0825,2,45.665,157
45.67,20,45.085,1,45.67,155
45.675,15,45.0875,1,45.675,127
45.68,16,45.09,2,45.68,95
45.685,22,45.0925,5,45.685,70
45.69,16,45.095,6,45.69,62
45.695,10,45.0975,4,45.695,56
45.7,19,45.1,1,45.7,60
45.705,27,45.1025,5,45.705,45
45.71,26,45.105,1,45.71,70
45.715,24,45.1075,3,45.715,77
45.72,26,45.11,1,45.72,105
45.725,27,45.1125,2,45.725,122
45.73,28,45.115,5,45.73,158
45.735,28,45.1175,3,45.735,218
45.74,47,45.12,4,45.74,257
45.745,57,45.1225,4,45.745,309
45.75,51,45.125,1,45.75,343
45.755,51,45.1275,4,45.755,390
45.76,51,45.13,3,45.76,438
45.765,49,45.1325,2,45.765,483
45.77,59,45.135,3,45.77,483
45.775,69,45.1375,1,45.775,538
45.78,44,45.14,2,45.78,518
45.785,71,45.1425,1,45.785,522
45.79,74,45.145,2,45.79,505
45.795,77,45.1475,3,45.795,543
45.8,61,45.15,1,45.8,491
45.805,69,45.1525,3,45.805,418
45.81,97,45.155,5,45.81,347
45.815,73,45.1575,2,45.815,371
45.82,75,45.16,1,45.82,314
45.825,84,45.1625,5,45.825,251
45.83,79,45.165,7,45.83,258
45.835,80,45.1675,3,45.835,232
45.84,75,45.17,1,45.84,266
45.845,87,45.1725,6,45.845,282
45.85,86,45.175,3,45.85,411
45.855,91,45.1775,3,45.855,481
45.86,86,45.18,1,45.86,706
45.865,103,45.1825,4,45.865,901
45.87,89,45.185,2,45.87,1206
45.875,86,45.1875,2,45.875,1564
45.88,106,45.19,0,45.88,1959
45.885,89,45.1925,2,45.885,2460
45.89,103,45.195,4,45.89,3048
45.895,79,45.1975,2,45.895,3826
45.9,121,45.2,1,45.9,4346
45.905,100,45.2025,2,45.905,5093
45.91,100,45.205,6,45.91,5820
45.915,78,45.2075,4,45.915,6794
45.92,99,45.21,1,45.92,7682
45.925,99,45.2125,4,45.925,8679
45.93,103,45.215,6,45.93,9750
45.935,84,45.2175,3,45.935,10280
45.94,100,45.22,3,45.94,11422
45.945,78,45.2225,5,45.945,12281
45.95,86,45.225,1,45.95,13010
45.955,77,45.2275,3,45.955,13727
45.96,80,45.23,3,45.96,14444
45.965,94,45.2325,4,45.965,15130
45.97,88,45.235,2,45.97,15703
45.975,81,45.2375,4,45.975,16076
45.98,75,45.24,2,45.98,16674
45.985,79,45.2425,3,45.985,16465
45.99,67,45.245,6,45.99,16521
45.995,92,45.2475,1,45.995,16432
46,65,45.25,4,46,16194
46.005,84,45.2525,4,46.005,16242
46.01,72,45.255,3,46.01,15587
46.015,86,45.2575,2,46.015,15231
46.02,77,45.26,9,46.02,14495
46.025,65,45.2625,1,46.025,14055
46.03,80,45.265,1,46.03,13120
46.035,78,45.2675,2,46.035,12248
46.04,80,45.27,3,46.04,11205
46.045,52,45.2725,5,46.045,10565
46.05,88,45.275,1,46.05,9625
46.055,66,45.2775,4,46.055,8505
46.06,75,45.28,5,46.06,7428
46.065,93,45.2825,4,46.065,6445
46.07,71,45.285,2,46.07,5710
46.075,91,45.2875,2,46.075,4885
46.08,91,45.29,2,46.08,4058
46.085,74,45.2925,4,46.085,3370
46.09,88,45.295,4,46.09,2672
46.095,101,45.2975,3,46.095,2204
46.1,110,45.3,5,46.1,1605
46.105,83,45.3025,6,46.105,1293
46.11,88,45.305,2,46.11,970
46.115,102,45.3075,6,46.115,753
46.12,99,45.31,5,46.12,568
46.125,90,45.3125,3,46.125,474
46.13,112,45.315,5,46.13,442
46.135,128,45.3175,6,46.135,418
46.14,121,45.32,6,46.14,479
46.145,126,45.3225,2,46.145,513
46.15,129,45.325,6,46.15,618
46.155,144,45.3275,5,46.155,775
46.16,176,45.33,1,46.16,862
46.165,173,45.3325,4,46.165,947
46.17,188,45.335,3,46.17,1024
46.175,238,45.3375,3,46.175,1108
46.18,296,45.34,1,46.18,1194
46.185,400,45.3425,1,46.185,1269
46.19,449,45.345,1,46.19,1309
46.195,624,45.3475,9,46.195,1244
46.2,812,45.35,5,46.2,1260
46.205,946,45.3525,7,46.205,1299
46.21,1085,45.355,5,46.21,1270
46.215,1290,45.3575,3,46.215,1152
46.22,1476,45.36,3,46.22,1048
46.225,1716,45.3625,2,46.225,937
46.23,1980,45.365,3,46.23,798
46.235,2340,45.3675,2,46.235,757
46.24,2406,45.37,4,46.24,692
46.245,2772,45.3725,5,46.245,558
46.25,3003,45.375,1,46.25,402
46.255,3170,45.3775,3,46.255,373
46.26,3524,45.38,2,46.26,296
46.265,3784,45.3825,4,46.265,252
46.27,4058,45.385,4,46.27,230
46.275,4382,45.3875,5,46.275,201
46.28,4594,45.39,5,46.28,210
46.285,5156,45.3925,3,46.285,208
46.29,5384,45.395,0,46.29,224
46.295,6039,45.3975,3,46.295,232
46.3,6477,45.4,7,46.3,328
46.305,6981,45.4025,3,46.305,336
46.31,7803,45.405,4,46.31,458
46.315,8423,45.4075,2,46.315,417
46.32,9393,45.41,5,46.32,468
46.325,10359,45.4125,4,46.325,499
46.33,11434,45.415,8,46.33,539
46.335,12967,45.4175,1,46.335,582
46.34,13869,45.42,4,46.34,592
46.345,15490,45.4225,10,46.345,576
46.35,17126,45.425,3,46.35,582
46.355,18991,45.4275,4,46.355,538
46.36,21075,45.43,3,46.36,568
46.365,23651,45.4325,4,46.365,510
46.37,26179,45.435,2,46.37,460
46.375,29682,45.4375,6,46.375,413
46.38,34032,45.44,8,46.38,397
46.385,39443,45.4425,11,46.385,335
46.39,46116,45.445,2,46.39,349
46.395,56011,45.4475,3,46.395,258
46.4,68638,45.45,4,46.4,253
46.405,87217,45.4525,4,46.405,248
46.41,114338,45.455,5,46.41,243
46.415,160765,45.4575,4,46.415,244
46.42,234103,45.46,6,46.42,250
46.425,347235,45.4625,8,46.425,234
46.43,508863,45.465,3,46.43,232
46.435,531498,45.4675,5,46.435,289
46.44,572221,45.47,8,46.44,315
46.445,569277,45.4725,5,46.445,333
46.45,528367,45.475,7,46.45,374
46.455,439626,45.4775,9,46.455,410
46.46,334698,45.48,7,46.46,481
46.465,209730,45.4825,5,46.465,479
46.47,186090,45.485,8,46.47,504
46.475,131762,45.4875,5,46.475,486
46.48,93160,45.49,6,46.48,522
46.485,65702,45.4925,5,46.485,505
46.49,48363,45.495,4,46.49,537
46.495,36347,45.4975,3,46.495,485
46.5,28402,45.5,5,46.5,473
46.505,22974,45.5025,3,46.505,459
46.51,19122,45.505,6,46.51,438
46.515,16190,45.5075,5,46.515,369
46.52,14382,45.51,3,46.52,320
46.525,12813,45.5125,2,46.525,332
46.53,11016,45.515,5,46.53,277
46.535,10155,45.5175,4,46.535,264
46.54,9238,45.52,6,46.54,201
46.545,8272,45.5225,5,46.545,197
46.55,7531,45.525,3,46.55,163
46.555,7274,45.5275,5,46.555,177
46.56,6553,45.53,5,46.56,158
46.565,6199,45.5325,1,46.565,159
46.57,5580,45.535,8,46.57,199
46.575,5465,45.5375,2,46.575,245
46.58,5073,45.54,6,46.58,242
46.585,4766,45.5425,6,46.585,266
46.59,4537,45.545,7,46.59,330
46.595,4274,45.5475,7,46.595,362
46.6,4084,45.55,5,46.6,395
46.605,3956,45.5525,3,46.605,420
46.61,3862,45.555,7,46.61,456
46.615,3649,45.5575,6,46.615,538
46.62,3476,45.56,6,46.62,558
46.625,3301,45.5625,9,46.625,558
46.63,3118,45.565,4,46.63,599
46.635,2831,45.5675,7,46.635,626
46.64,2774,45.57,4,46.64,613
46.645,2652,45.5725,9,46.645,608
46.65,2502,45.575,4,46.65,601
46.655,2365,45.5775,5,46.655,618
46.66,2180,45.58,10,46.66,578
46.665,2064,45.5825,8,46.665,574
46.67,1885,45.585,8,46.67,534
46.675,1668,45.5875,8,46.675,568
46.68,1671,45.59,11,46.68,551
46.685,1457,45.5925,5,46.685,495
46.69,1232,45.595,5,46.69,483
46.695,931,45.5975,16,46.695,513
46.7,667,45.6,10,46.7,472
46.705,451,45.6025,4,46.705,522
46.71,333,45.605,4,46.71,557
46.715,244,45.6075,10,46.715,562
46.72,220,45.61,6,46.72,633
46.725,212,45.6125,7,46.725,707
46.73,228,45.615,7,46.73,825
46.735,177,45.6175,11,46.735,839
46.74,185,45.62,5,46.74,943
46.745,157,45.6225,9,46.745,1066
46.75,153,45.625,5,46.75,1118
46.755,129,45.6275,10,46.755,1314
46.76,112,45.63,10,46.76,1374
46.765,108,45.6325,4,46.765,1453
46.77,107,45.635,12,46.77,1591
46.775,90,45.6375,7,46.775,1716
46.78,77,45.64,10,46.78,1887
46.785,93,45.6425,4,46.785,2025
46.79,67,45.645,10,46.79,2083
46.795,67,45.6475,11,46.795,2283
46.8,84,45.65,16,46.8,2374
46.805,69,45.6525,15,46.805,2600
46.81,80,45.655,6,46.81,2857
46.815,63,45.6575,12,46.815,3064
46.82,70,45.66,7,46.82,3432
46.825,57,45.6625,11,46.825,3771
46.83,68,45.665,7,46.83,4206
46.835,47,45.6675,11,46.835,4866
46.84,61,45.67,14,46.84,5600
46.845,53,45.6725,11,46.845,6803
46.85,54,45.675,11,46.85,8465
46.855,50,45.6775,10,46.855,10731
46.86,49,45.68,16,46.86,14880
46.865,51,45.6825,15,46.865,20724
46.87,52,45.685,21,46.87,34003
46.875,45,45.6875,10,46.875,62116
46.88,43,45.69,14,46.88,143432
46.885,38,45.6925,5,46.885,308707
46.89,45,45.695,12,46.89,835217
46.895,53,45.6975,9,46.895,950062
46.9,43,45.7,13,46.9,1242200
46.905,50,45.7025,12,46.905,1307220
