STO sub two theta,STO sub Int,STOonSTO two theta,STOonSTO Int,STOonLSAT sub two theta,STOonLSAT Int
48.24,0,46.37,52750,48.24,12
48.245,5,46.3725,60493,48.245,8
48.25,5,46.375,68582,48.25,12
48.255,2,46.3775,75640,48.255,5
48.26,5,46.38,84115,48.26,10
48.265,6,46.3825,94221,48.265,13
48.27,2,46.385,105631,48.27,13
48.275,5,46.3875,109654,48.275,13
48.28,2,46.39,114402,48.28,14
48.285,6,46.3925,123465,48.285,13
48.29,3,46.395,130596,48.29,12
48.295,3,46.3975,137052,48.295,9
48.3,6,46.4,143299,48.3,12
48.305,6,46.4025,151448,48.305,14
48.31,3,46.405,156990,48.31,6
48.315,3,46.4075,161874,48.315,23
48.32,4,46.41,167027,48.32,16
48.325,4,46.4125,172248,48.325,12
48.33,4,46.415,177416,48.33,7
48.335,6,46.4175,175431,48.335,10
48.34,3,46.42,171341,48.34,9
48.345,3,46.4225,157754,48.345,11
48.35,8,46.425,139958,48.35,9
48.355,3,46.4275,120095,48.355,5
48.36,1,46.43,97205.2,48.36,6
48.365,3,46.4325,76592.7,48.365,10
48.37,0,46.435,52315,48.37,7
48.375,2,46.4375,51505,48.375,10
48.38,6,46.44,44656,48.38,16
48.385,3,46.4425,40454,48.385,8
48.39,6,46.445,38174,48.39,7
48.395,6,46.4475,36666,48.395,7
48.4,3,46.45,35537,48.4,12
48.405,5,46.4525,33638,48.405,16
48.41,3,46.455,30840,48.41,14
48.415,2,46.4575,27503,48.415,11
48.42,9,46.46,23505,48.42,3
48.425,3,46.4625,18791,48.425,12
48.43,4,46.465,14689,48.43,13
48.435,4,46.4675,11957,48.435,10
48.44,5,46.47,9907,48.44,5
48.445,3,46.4725,8065,48.445,8
48.45,3,46.475,6841,48.45,20
48.455,2,46.4775,6185,48.455,10
48.46,4,46.48,5584,48.46,8
48.465,4,46.4825,5061,48.465,8
48.47,4,46.485,4679,48.47,6
48.475,2,46.4875,4276,48.475,5
48.48,2,46.49,4030,48.48,5
48.485,2,46.4925,3726,48.485,9
48.49,2,46.495,3423,48.49,7
48.495,4,46.4975,3211,48.495,9
48.5,5,46.5,3008,48.5,5
,,46.5025,2790,,
,,46.505,2469,,
,,46.5075,2406,,
,,46.51,2335,,
,,46.5125,2082,,
,,46.515,1993,,
,,46.5175,1792,,
,,46.52,1766,,
,,46.5225,1564,,
,,46.525,1466,,
,,46.5275,1367,,
,,46.53,1305,,
,,46.5325,1210,,
,,46.535,1195,,
,,46.5375,1085,,
,,46.54,997,,
,,46.5425,939,,
,,46.545,860,,
,,46.5475,786,,
,,46.55,777,,
,,46.5525,712,,
,,46.555,693,,
,,46.5575,565,,
,,46.56,572,,
,,46.5625,536,,
,,46.565,472,,
,,46.5675,449,,
,,46.57,420,,
,,46.5725,361,,
,,46.575,335,,
,,46.5775,332,,
,,46.58,274,,
,,46.5825,288,,
,,46.585,286,,
,,46.5875,266,,
,,46.59,239,,
,,46.5925,216,,
,,46.595,210,,
,,46.5975,204,,
,,46.6,198,,
,,46.6025,203,,
,,46.605,162,,
,,46.6075,173,,
,,46.61,164,,
,,46.6125,173,,
,,46.615,150,,
,,46.6175,142,,
,,46.62,143,,
,,46.6225,135,,
,,46.625,150,,
,,46.6275,137,,
,,46.63,133,,
,,46.6325,129,,
,,46.635,93,,
,,46.6375,136,,
,,46.64,106,,
,,46.6425,107,,
,,46.645,105,,
,,46.6475,92,,
,,46.65,90,,
,,46.6525,90,,
,,46.655,80,,
,,46.6575,82,,
,,46.66,81,,
,,46.6625,107,,
,,46.665,71,,
,,46.6675,73,,
,,46.67,74,,
,,46.6725,75,,
,,46.675,81,,
,,46.6775,66,,
,,46.68,53,,
,,46.6825,47,,
,,46.685,64,,
,,46.6875,64,,
,,46.69,48,,
,,46.6925,48,,
,,46.695,58,,
,,46.6975,45,,
,,46.7,46,,
,,46.7025,30,,
,,46.705,39,,
,,46.7075,46,,
,,46.71,37,,
,,46.7125,32,,
,,46.715,27,,
,,46.7175,21,,
,,46.72,27,,
,,46.7225,30,,
,,46.725,30,,
,,46.7275,23,,
,,46.73,25,,
,,46.7325,28,,
,,46.735,31,,
,,46.7375,36,,
,,46.74,21,,
,,46.7425,27,,
,,46.745,29,,
,,46.7475,22,,
,,46.75,24,,
,,46.7525,16,,
,,46.755,26,,
,,46.7575,20,,
,,46.76,22,,
,,46.7625,36,,
,,46.765,23,,
,,46.7675,23,,
,,46.77,22,,
,,46.7725,22,,
,,46.775,22,,
,,46.7775,24,,
,,46.78,19,,
,,46.7825,25,,
,,46.785,27,,
,,46.7875,20,,
,,46.79,24,,
,,46.7925,23,,
,,46.795,22,,
,,46.7975,25,,
,,46.8,25,,
,,46.8025,18,,
,,46.805,23,,
,,46.8075,20,,
,,46.81,24,,
,,46.8125,32,,
,,46.815,21,,
,,46.8175,13,,
,,46.82,22,,
,,46.8225,17,,
,,46.825,27,,
,,46.8275,20,,
,,46.83,18,,
,,46.8325,20,,
,,46.835,19,,
,,46.8375,25,,
,,46.84,19,,
,,46.8425,23,,
,,46.845,17,,
,,46.8475,18,,
,,46.85,14,,
,,46.8525,21,,
,,46.855,20,,
,,46.8575,23,,
,,46.86,16,,
,,46.8625,19,,
,,46.865,18,,
,,46.8675,13,,
,,46.87,12,,
,,46.8725,14,,
,,46.875,8,,
,,46.8775,9,,
,,46.88,14,,
,,46.8825,13,,
,,46.885,13,,
,,46.8875,14,,
,,46.89,12,,
,,46.8925,12,,
,,46.895,7,,
,,46.8975,12,,
,,46.9,11,,
,,46.9025,11,,
,,46.905,9,,
,,46.9075,13,,
,,46.91,16,,
,,46.9125,6,,
,,46.915,12,,
,,46.9175,11,,
,,46.92,16,,
,,46.9225,14,,
,,46.925,8,,
,,46.9275,12,,
,,46.93,15,,
,,46.9325,13,,
,,46.935,20,,
,,46.9375,8,,
,,46.94,5,,
,,46.9425,13,,
,,46.945,14,,
,,46.9475,8,,
,,46.95,13,,
,,46.9525,15,,
,,46.955,6,,
,,46.9575,4,,
,,46.96,7,,
,,46.9625,13,,
,,46.965,10,,
,,46.9675,17,,
,,46.97,13,,
,,46.9725,9,,
,,46.975,9,,
,,46.9775,10,,
,,46.98,9,,
,,46.9825,8,,
,,46.985,13,,
,,46.9875,10,,
,,46.99,7,,
,,46.9925,20,,
,,46.995,14,,
,,46.9975,7,,
,,47,11,,
,,47.0025,6,,
,,47.005,17,,
,,47.0075,4,,
,,47.01,9,,
,,47.0125,6,,
,,47.015,7,,
,,47.0175,6,,
,,47.02,12,,
,,47.0225,10,,
,,47.025,7,,
,,47.0275,10,,
,,47.03,7,,
,,47.0325,5,,
,,47.035,7,,
,,47.0375,8,,
,,47.04,4,,
,,47.0425,13,,
,,47.045,3,,
,,47.0475,4,,
,,47.05,11,,
,,47.0525,7,,
,,47.055,7,,
,,47.0575,7,,
,,47.06,12,,
,,47.0625,14,,
,,47.065,10,,
,,47.0675,7,,
,,47.07,6,,
,,47.0725,9,,
,,47.075,12,,
,,47.0775,12,,
,,47.08,15,,
,,47.0825,4,,
,,47.085,6,,
,,47.0875,14,,
,,47.09,9,,
,,47.0925,11,,
,,47.095,6,,
,,47.0975,6,,
,,47.1,6,,
,,47.1025,5,,
,,47.105,5,,
,,47.1075,4,,
,,47.11,14,,
,,47.1125,5,,
,,47.115,7,,
