Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
2.63,5,2.63,0
2.64,0,2.64,3
2.65,4,2.65,0
2.66,0,2.66,3
2.67,4,2.67,4
2.68,4,2.68,1
2.69,1,2.69,9
2.7,8,2.7,2
2.71,6,2.71,7
2.72,4,2.72,7
2.73,5,2.73,3
2.74,4,2.74,7
2.75,6,2.75,5
2.76,9,2.76,12
2.77,5,2.77,6
2.78,9,2.78,5
2.79,3,2.79,2
2.8,6,2.8,8
2.81,5,2.81,3
2.82,3,2.82,4
2.83,3,2.83,2
2.84,4,2.84,3
2.85,4,2.85,3
2.86,0,2.86,4
2.87,6,2.87,3
2.88,3,2.88,3
2.89,5,2.89,4
2.9,6,2.9,4
2.91,5,2.91,5
2.92,4,2.92,2
2.93,5,2.93,2
2.94,2,2.94,3
2.95,4,2.95,2
2.96,7,2.96,3
2.97,6,2.97,2
2.98,6,2.98,1
2.99,3,2.99,3
3,3,3,3
3.01,4,3.01,4
3.02,7,3.02,6
3.03,3,3.03,6
3.04,6,3.04,5
3.05,3,3.05,4
3.06,7,3.06,3
3.07,4,3.07,1
3.08,0,3.08,4
3.09,5,3.09,2
3.1,3,3.1,4
3.11,4,3.11,3
3.12,2,3.12,2
3.13,1,3.13,5
3.14,2,3.14,2
3.15,0,3.15,4
3.16,5,3.16,2
3.17,4,3.17,2
3.18,6,3.18,1
3.19,7,3.19,5
3.2,3,3.2,8
3.21,8,3.21,4
3.22,6,3.22,1
3.23,4,3.23,2
3.24,2,3.24,2
3.25,5,3.25,5
3.26,4,3.26,5
3.27,7,3.27,5
3.28,2,3.28,5
3.29,5,3.29,7
3.3,5,3.3,7
3.31,12,3.31,5
3.32,4,3.32,2
3.33,7,3.33,7
3.34,3,3.34,6
3.35,2,3.35,6
3.36,5,3.36,6
3.37,5,3.37,6
3.38,5,3.38,6
3.39,3,3.39,6
3.4,5,3.4,2
3.41,2,3.41,3
3.42,7,3.42,7
3.43,5,3.43,3
3.44,4,3.44,2
3.45,6,3.45,5
3.46,3,3.46,5
3.47,5,3.47,5
3.48,2,3.48,5
3.49,4,3.49,1
3.5,4,3.5,3
3.51,7,3.51,4
3.52,4,3.52,4
3.53,3,3.53,1
3.54,2,3.54,2
3.55,2,3.55,3
3.56,7,3.56,8
3.57,4,3.57,3
3.58,8,3.58,2
3.59,3,3.59,7
3.6,7,3.6,3
3.61,0,3.61,5
3.62,2,3.62,0
3.63,5,3.63,7
3.64,4,3.64,3
3.65,6,3.65,4
3.66,3,3.66,2
3.67,4,3.67,5
3.68,4,3.68,8
3.69,5,3.69,4
3.7,4,3.7,7
3.71,5,3.71,4
3.72,4,3.72,7
3.73,5,3.73,1
3.74,5,3.74,6
